Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2004,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_NMRT,426,F,R,NUMBER,46
2009,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_NMRT,426,F,R,NUMBER,93
2014,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_NMRT,426,F,R,NUMBER,68
2023,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_NMRT,426,F,R,NUMBER,71
2004,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_NMRT,426,M,U,NUMBER,29
2009,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_NMRT,426,M,U,NUMBER,98
2014,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_NMRT,426,M,U,NUMBER,76
2023,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_NMRT,426,M,U,NUMBER,59
