Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2004,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_MORT,426,F,R,NUMBER,102
2009,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_MORT,426,F,R,NUMBER,141
2014,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_MORT,426,F,R,NUMBER,32
2023,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_MORT,426,F,R,NUMBER,21
2004,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_MORT,426,M,U,NUMBER,91
2009,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_MORT,426,M,U,NUMBER,92
2014,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_MORT,426,M,U,NUMBER,26
2023,E,0,Lesotho Demographic and Health Survey (2023),SH_DYN_MORT,426,M,U,NUMBER,20
